"Club","infringement","count"
"Arsenal","Foul",1611
"Arsenal","Yellow",302
"Arsenal","Red",13
"Aston-Villa","Foul",736
"Aston-Villa","Yellow",110
"Aston-Villa","Red",2
"Brighton-and-Hove-Albion","Foul",940
"Brighton-and-Hove-Albion","Yellow",121
"Brighton-and-Hove-Albion","Red",5
"Burnley","Foul",2212
"Burnley","Yellow",367
"Burnley","Red",5
"Chelsea","Foul",1535
"Chelsea","Yellow",191
"Chelsea","Red",7
"Crystal-Palace","Foul",3408
"Crystal-Palace","Yellow",475
"Crystal-Palace","Red",14
"Everton","Foul",1866
"Everton","Yellow",271
"Everton","Red",8
"Fulham","Foul",474
"Fulham","Yellow",62
"Fulham","Red",4
"Leeds-United","Foul",109
"Leeds-United","Yellow",12
"Leeds-United","Red",0
"Leicester-City","Foul",1759
"Leicester-City","Yellow",232
"Leicester-City","Red",17
"Liverpool","Foul",2088
"Liverpool","Yellow",269
"Liverpool","Red",12
"Manchester-City","Foul",1918
"Manchester-City","Yellow",291
"Manchester-City","Red",11
"Manchester-United","Foul",2081
"Manchester-United","Yellow",322
"Manchester-United","Red",11
"Newcastle-United","Foul",1990
"Newcastle-United","Yellow",328
"Newcastle-United","Red",16
"Sheffield-United","Foul",753
"Sheffield-United","Yellow",111
"Sheffield-United","Red",6
"Southampton","Foul",1674
"Southampton","Yellow",227
"Southampton","Red",8
"Tottenham-Hotspur","Foul",2019
"Tottenham-Hotspur","Yellow",300
"Tottenham-Hotspur","Red",11
"West-Bromwich-Albion","Foul",953
"West-Bromwich-Albion","Yellow",145
"West-Bromwich-Albion","Red",7
"West-Ham-United","Foul",1534
"West-Ham-United","Yellow",291
"West-Ham-United","Red",11
"Wolverhampton-Wanderers","Foul",622
"Wolverhampton-Wanderers","Yellow",94
"Wolverhampton-Wanderers","Red",4
